TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
1611661330,Atlanta Dream,40,19,21,0.475,40.3,29.4,68.7,0.428,6.4,19.2,0.336,17.3,22.0,0.788,8.0,28.1,36.1,18.6,14.6,6.3,4.6,4.4,19.3,19.8,82.5,-1.5,31,44,31,44,65,68,66,71,73,73,63,15,14,18,68,64,64,71,35,72,53,13,48,20,66,47
1610612737,Atlanta Hawks,87,39,48,0.448,47.9,42.4,91.7,0.463,13.6,37.9,0.36,18.3,23.0,0.795,12.6,31.9,44.6,26.2,13.7,7.4,4.6,5.7,18.7,19.4,116.7,-2.2,13,21,64,49,33,15,7,39,15,15,31,4,8,17,12,50,24,29,20,51,55,49,30,28,13,52
1612709890,Austin Spurs,34,20,14,0.588,48.1,42.2,86.6,0.487,11.2,31.4,0.356,11.4,15.8,0.722,10.7,34.6,45.2,24.7,16.9,9.8,5.3,6.0,20.4,20.4,113.8,3.3,43,39,10,19,13,22,45,7,52,54,37,54,48,64,36,9,19,44,68,4,33,59,62,12,29,17
1612709913,Birmingham Squadron,34,15,19,0.441,48.0,42.3,89.0,0.475,14.4,38.5,0.374,11.6,14.4,0.811,11.2,30.7,41.9,26.3,14.7,8.6,4.5,5.6,18.4,18.3,118.5,-2.0,43,60,25,50,27,19,27,23,6,12,12,50,61,10,29,58,54,26,36,12,57,45,22,53,6,51
1610612738,Boston Celtics,87,66,21,0.759,47.9,43.3,89.4,0.485,16.1,41.8,0.386,16.2,20.2,0.803,10.7,35.4,46.1,26.6,12.3,6.8,6.6,3.8,16.2,17.3,119.0,10.7,13,1,31,3,35,7,24,12,1,3,1,23,30,14,35,2,16,20,3,65,8,6,4,70,4,2
1610612751,Brooklyn Nets,87,35,52,0.402,47.9,40.2,88.6,0.454,13.2,36.6,0.361,16.0,21.2,0.755,11.4,32.5,43.9,25.2,13.1,6.9,5.2,5.1,18.8,18.5,109.6,-2.3,13,23,65,57,34,50,35,52,22,21,30,25,19,52,22,41,31,38,11,61,37,36,34,48,47,54
1612709928,Capital City Go-Go,34,20,14,0.588,48.1,42.3,88.2,0.48,11.9,33.3,0.359,12.4,15.4,0.809,10.6,33.4,43.9,25.8,15.4,8.7,6.1,5.5,19.6,21.5,117.3,5.2,43,39,10,19,20,19,38,16,43,41,35,44,50,11,40,25,30,32,50,10,17,40,53,4,9,8
1610612766,Charlotte Hornets,89,22,67,0.247,47.5,39.2,85.9,0.456,11.8,33.5,0.351,14.6,18.8,0.78,9.5,30.7,40.2,24.1,14.0,6.8,4.7,4.9,18.3,17.8,104.8,-10.0,5,32,71,68,61,53,52,48,44,39,41,38,35,24,56,59,61,56,24,64,52,29,19,63,59,72
1610612741,Chicago Bulls,87,42,45,0.483,48.2,41.5,88.6,0.468,11.4,32.0,0.357,16.5,21.1,0.784,11.3,32.4,43.7,24.6,12.5,7.7,4.9,5.0,19.0,18.8,110.9,-1.2,13,20,63,43,9,33,34,29,47,52,36,19,20,20,25,42,34,46,4,39,42,32,43,40,43,46
1611661329,Chicago Sky,40,18,22,0.45,40.3,30.7,69.6,0.442,8.3,22.2,0.372,12.0,16.0,0.752,8.6,24.8,33.3,20.5,14.3,6.7,4.5,3.6,17.3,15.9,81.7,-1.6,31,50,36,48,65,65,64,65,65,66,15,45,47,55,63,72,70,65,33,66,56,4,7,73,67,48
